family,case,timer,baseline_elapsed_ns,g0_elapsed_ns,difference_ns,difference_percent,slowdown_factor,g1_diagnostic_elapsed_ns,baseline_source,g0_source,g0_verification,baseline_evidence,g0_evidence
dedup_cross_file,dedup-cross-file-identical-100,pure_call_sum_ns,28959584,137005375,108045791,373.0916542171324,4.730916542171324,,1bedaeaa3d564286b8ff6a77365d3d7b144a6dc97e236466fa7066826a6acd19,dcfddc7a6b25051e78ac61102a0996aa5e330821f61b6ea0d3ac89fe9dcc869d,PASS,../../0.1.3/checkpoint-evidence/raw/performance/dedup_cross_file/dedup-cross-file-identical-100/perf.jsonl,raw/generations/g0/performance/dedup_cross_file/dedup-cross-file-identical-100/perf.jsonl
dedup_cdc_locality,dedup-cdc-scattered-100,pure_call_sum_ns,89368333,412799209,323430876,361.90769721529887,4.619076972152988,,1bedaeaa3d564286b8ff6a77365d3d7b144a6dc97e236466fa7066826a6acd19,dcfddc7a6b25051e78ac61102a0996aa5e330821f61b6ea0d3ac89fe9dcc869d,PASS,../../0.1.3/checkpoint-evidence/raw/performance/dedup_cdc_locality/dedup-cdc-scattered-100/perf.jsonl,raw/generations/g0/performance/dedup_cdc_locality/dedup-cdc-scattered-100/perf.jsonl
store_footprint,store-footprint-unique-100000,product_call_sum_ns,2982459252,13428984042,10446524790,350.2654657559761,4.502654657559761,,1bedaeaa3d564286b8ff6a77365d3d7b144a6dc97e236466fa7066826a6acd19,dcfddc7a6b25051e78ac61102a0996aa5e330821f61b6ea0d3ac89fe9dcc869d,TIMEOUT,../../0.1.3/checkpoint-evidence/raw/performance/store_footprint/store-footprint-unique-100000/perf.jsonl,raw/generations/g0/performance/store_footprint/store-footprint-unique-100000/perf.jsonl
dedup_cross_file,dedup-cross-file-unique-100,pure_call_sum_ns,93266750,392153250,298886500,320.4641525516864,4.204641525516864,,1bedaeaa3d564286b8ff6a77365d3d7b144a6dc97e236466fa7066826a6acd19,dcfddc7a6b25051e78ac61102a0996aa5e330821f61b6ea0d3ac89fe9dcc869d,PASS,../../0.1.3/checkpoint-evidence/raw/performance/dedup_cross_file/dedup-cross-file-unique-100/perf.jsonl,raw/generations/g0/performance/dedup_cross_file/dedup-cross-file-unique-100/perf.jsonl
dedup_cdc_locality,dedup-cdc-common-body-100,pure_call_sum_ns,58208209,239982625,181774416,312.2831283127093,4.122831283127093,,1bedaeaa3d564286b8ff6a77365d3d7b144a6dc97e236466fa7066826a6acd19,dcfddc7a6b25051e78ac61102a0996aa5e330821f61b6ea0d3ac89fe9dcc869d,PASS,../../0.1.3/checkpoint-evidence/raw/performance/dedup_cdc_locality/dedup-cdc-common-body-100/perf.jsonl,raw/generations/g0/performance/dedup_cdc_locality/dedup-cdc-common-body-100/perf.jsonl
dedup_cross_file,dedup-cross-file-unique-500,pure_call_sum_ns,444949333,1767145542,1322196209,297.1565773759683,3.9715657737596834,,1bedaeaa3d564286b8ff6a77365d3d7b144a6dc97e236466fa7066826a6acd19,dcfddc7a6b25051e78ac61102a0996aa5e330821f61b6ea0d3ac89fe9dcc869d,PASS,../../0.1.3/checkpoint-evidence/raw/performance/dedup_cross_file/dedup-cross-file-unique-500/perf.jsonl,raw/generations/g0/performance/dedup_cross_file/dedup-cross-file-unique-500/perf.jsonl
init_namespace,namespace-10000,layerstack_init_ns,403467916,1541202000,1137734084,281.9887378603854,3.819887378603854,,1bedaeaa3d564286b8ff6a77365d3d7b144a6dc97e236466fa7066826a6acd19,dcfddc7a6b25051e78ac61102a0996aa5e330821f61b6ea0d3ac89fe9dcc869d,PASS,../../0.1.3/checkpoint-evidence/raw/performance/init_namespace/namespace-10000/perf.jsonl,raw/generations/g0/performance/init_namespace/namespace-10000/perf.jsonl
dedup_cdc_locality,dedup-cdc-scattered-500,pure_call_sum_ns,483006833,1804054708,1321047875,273.5050075368188,3.7350500753681883,,1bedaeaa3d564286b8ff6a77365d3d7b144a6dc97e236466fa7066826a6acd19,dcfddc7a6b25051e78ac61102a0996aa5e330821f61b6ea0d3ac89fe9dcc869d,PASS,../../0.1.3/checkpoint-evidence/raw/performance/dedup_cdc_locality/dedup-cdc-scattered-500/perf.jsonl,raw/generations/g0/performance/dedup_cdc_locality/dedup-cdc-scattered-500/perf.jsonl
store_footprint,store-footprint-large-object-500m,product_call_sum_ns,491905625,1720577750,1228672125,249.77801890352444,3.4977801890352445,,1bedaeaa3d564286b8ff6a77365d3d7b144a6dc97e236466fa7066826a6acd19,dcfddc7a6b25051e78ac61102a0996aa5e330821f61b6ea0d3ac89fe9dcc869d,PASS,../../0.1.3/checkpoint-evidence/raw/performance/store_footprint/store-footprint-large-object-500m/perf.jsonl,raw/generations/g0/performance/store_footprint/store-footprint-large-object-500m/perf.jsonl
init_namespace,namespace-1000-compact-v3,layerstack_init_ns,38077083,124906417,86829334,228.03567699763136,3.2803567699763136,,1bedaeaa3d564286b8ff6a77365d3d7b144a6dc97e236466fa7066826a6acd19,dcfddc7a6b25051e78ac61102a0996aa5e330821f61b6ea0d3ac89fe9dcc869d,PASS,../../0.1.3/checkpoint-evidence/raw/performance/init_namespace/namespace-1000-compact-v3/perf.jsonl,raw/generations/g0/performance/init_namespace/namespace-1000-compact-v3/perf.jsonl
