first_retained_checkpoint,role,unique_objects,canonical_bytes,snapshot,status,provenance
39,extent_leaf,193,20292,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
39,inode_record,375,36750,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
39,inode_table_branch,1,1580,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
39,inode_table_leaf,24,134368,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
39,namespace_root,1,121,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
39,payload_chunk,253,2827593,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
40,FileState,532,56392,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
40,directory_map_leaf,336,115325,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
40,directory_state,336,32928,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
40,extent_leaf,532,48608,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
40,inode_record,868,85064,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
40,inode_table_branch,1,1900,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
40,inode_table_leaf,29,182140,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
40,namespace_root,1,121,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
40,payload_chunk,583,3438183,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
41,FileState,1033,109498,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
41,directory_map_branch,1,185,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
41,directory_map_leaf,140,78075,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
41,directory_state,139,13622,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
41,extent_leaf,1033,94892,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
41,inode_record,1173,114954,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
41,inode_table_branch,1,2796,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
41,inode_table_leaf,43,221924,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
41,namespace_root,1,121,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
41,payload_chunk,1187,9268200,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
41,symlink_state,1,46,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
42,FileState,154,16324,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
42,directory_map_leaf,14,24140,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
42,directory_state,14,1372,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
42,extent_leaf,154,15816,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
42,inode_record,168,16464,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
42,inode_table_branch,1,2156,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
42,inode_table_leaf,33,186412,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
42,namespace_root,1,121,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
42,payload_chunk,184,2255011,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
43,FileState,228,24168,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
43,directory_map_leaf,62,36980,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
43,directory_state,62,6076,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
43,extent_leaf,228,24392,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
43,inode_record,290,28420,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
43,inode_table_branch,1,2092,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
43,inode_table_leaf,32,167232,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
43,namespace_root,1,121,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
43,payload_chunk,309,3762462,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
44,FileState,184,19504,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
44,directory_map_leaf,254,94955,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
44,directory_state,254,24892,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
44,extent_leaf,184,20656,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
44,inode_record,438,42924,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
44,inode_table_branch,1,2732,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
44,inode_table_leaf,42,213752,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
44,namespace_root,1,121,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
44,payload_chunk,251,3222528,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
45,FileState,523,55438,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
45,directory_map_branch,1,180,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
45,directory_map_leaf,92,69076,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
45,directory_state,91,8918,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
45,extent_leaf,523,48732,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
45,inode_record,614,60172,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
45,inode_table_branch,1,2732,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
45,inode_table_leaf,42,232120,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
45,namespace_root,1,121,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
45,payload_chunk,593,5042192,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
46,FileState,305,32330,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
46,directory_map_branch,2,388,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
46,directory_map_leaf,20,24770,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
46,directory_state,19,1862,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
46,extent_leaf,305,32420,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
46,inode_record,324,31752,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
46,inode_table_branch,1,2732,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
46,inode_table_leaf,42,235768,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
46,namespace_root,1,121,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
46,payload_chunk,413,4760199,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
47,FileState,362,38372,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
47,directory_map_branch,2,388,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
47,directory_map_leaf,37,33800,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
47,directory_state,37,3626,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
47,extent_leaf,362,34728,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
47,inode_record,399,39102,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
47,inode_table_branch,1,2796,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
47,inode_table_leaf,43,240484,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
47,namespace_root,1,121,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
47,payload_chunk,410,3694332,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
48,FileState,540,57240,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
48,directory_map_branch,4,886,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
48,directory_map_leaf,21,58249,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
48,directory_state,18,1764,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
48,extent_leaf,540,46800,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
48,inode_record,558,54684,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
48,inode_table_branch,1,2796,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
48,inode_table_leaf,43,263140,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
48,namespace_root,1,121,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
48,payload_chunk,559,2876147,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
49,FileState,214,22684,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
49,directory_map_branch,1,202,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
49,directory_map_leaf,2,6573,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
49,directory_state,2,196,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
49,extent_leaf,214,24536,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
49,inode_record,216,21168,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
49,inode_table_branch,1,2796,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
49,inode_table_leaf,43,240932,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
49,namespace_root,1,121,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
49,payload_chunk,280,3568130,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
50,FileState,800,84800,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
50,directory_map_branch,4,912,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
50,directory_map_leaf,78,95051,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
50,directory_state,73,7154,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
50,extent_leaf,800,74080,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
50,inode_record,873,85554,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
50,inode_table_branch,1,2796,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
50,inode_table_leaf,43,268132,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
50,namespace_root,1,121,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
50,payload_chunk,886,6438947,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
51,FileState,402,42612,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
51,directory_map_branch,4,904,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
51,directory_map_leaf,47,66760,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
51,directory_state,43,4214,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
51,extent_leaf,402,38008,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
51,inode_record,445,43610,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
51,inode_table_branch,1,2796,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
51,inode_table_leaf,43,271268,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
51,namespace_root,1,121,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
51,payload_chunk,455,3852812,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
52,FileState,943,99958,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
52,directory_map_branch,3,774,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
52,directory_map_leaf,235,131181,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
52,directory_state,233,22834,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
52,extent_leaf,943,83972,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
52,inode_record,1176,115248,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
52,inode_table_branch,1,3436,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
52,inode_table_leaf,53,307228,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
52,namespace_root,1,121,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
52,payload_chunk,989,5095881,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
53,FileState,64,6784,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
53,directory_map_branch,4,1045,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
53,directory_map_leaf,24,47008,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
53,directory_state,19,1862,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
53,extent_leaf,64,7856,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
53,inode_record,83,8134,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
53,inode_table_branch,1,3372,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
53,inode_table_leaf,52,275952,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
53,namespace_root,1,121,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
53,payload_chunk,86,979758,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
54,FileState,106,11236,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
54,directory_map_branch,3,838,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
54,directory_map_leaf,13,34938,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
54,directory_state,10,980,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
54,extent_leaf,106,12584,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
54,inode_record,116,11368,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
54,inode_table_branch,1,3244,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
54,inode_table_leaf,49,266860,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
54,namespace_root,1,121,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
54,payload_chunk,138,1699611,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
55,FileState,952,100912,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
55,directory_map_branch,3,753,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
55,directory_map_leaf,297,189210,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
55,directory_state,292,28616,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
55,extent_leaf,952,86408,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
55,inode_record,1244,121912,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
55,inode_table_branch,1,3500,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
55,inode_table_leaf,54,326600,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
55,namespace_root,1,121,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
55,payload_chunk,1026,6948561,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
56,FileState,117,12402,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
56,directory_map_branch,3,748,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
56,directory_map_leaf,44,78246,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
56,directory_state,39,3822,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
56,extent_leaf,117,12428,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
56,inode_record,156,15288,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
56,inode_table_branch,1,3372,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
56,inode_table_leaf,52,274032,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
56,namespace_root,1,121,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
56,payload_chunk,138,1321250,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
57,FileState,342,36252,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
57,directory_map_branch,4,975,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
57,directory_map_leaf,56,69986,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
57,directory_state,51,4998,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
57,extent_leaf,342,35968,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
57,inode_record,393,38514,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
57,inode_table_branch,1,3372,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
57,inode_table_leaf,52,265072,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
57,namespace_root,1,121,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
57,payload_chunk,430,4851933,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
58,FileState,651,69006,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
58,directory_map_branch,3,761,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
58,directory_map_leaf,351,199201,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
58,directory_state,348,34104,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
58,extent_leaf,651,62524,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
58,inode_record,999,97902,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
58,inode_table_branch,1,3500,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
58,inode_table_leaf,54,331400,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
58,namespace_root,1,121,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
58,payload_chunk,767,7059961,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
59,FileState,42,4452,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
59,directory_map_branch,3,761,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
59,directory_map_leaf,15,32942,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
59,directory_state,15,1470,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
59,extent_leaf,42,6128,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
59,inode_record,57,5586,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
59,inode_table_branch,1,3500,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
59,inode_table_leaf,54,328584,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
59,namespace_root,1,121,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
59,payload_chunk,57,810926,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
60,FileState,677,71762,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
60,directory_map_branch,3,774,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
60,directory_map_leaf,89,111621,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
60,directory_state,84,8232,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
60,extent_leaf,677,62988,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
60,inode_record,761,74578,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
60,inode_table_branch,1,3884,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
60,inode_table_leaf,60,345232,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
60,namespace_root,1,121,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
60,payload_chunk,756,5725470,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
61,FileState,315,33390,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
61,directory_map_branch,1,273,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
61,directory_map_leaf,17,37860,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
61,directory_state,16,1568,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
61,extent_leaf,315,29500,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
61,inode_record,331,32438,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
